term,metric,512
all,brier_score,0.153967723
all,cross_entropy,0.388957441
all,ece,0.045451645
all,kl_divergence,0.379272491
all,expected_correctness,0.873782516
black,brier_score,0.030018935
black,cross_entropy,0.072869234
black,ece,0.011524495
black,kl_divergence,0.071321398
black,expected_correctness,0.97522682
gay,brier_score,0.079716355
gay,cross_entropy,0.21089378
gay,ece,0.035652581
gay,kl_divergence,0.200430214
gay,expected_correctness,0.945305943
indian,brier_score,0.125868484
indian,cross_entropy,0.374518663
indian,ece,0.057089719
indian,kl_divergence,0.363645196
indian,expected_correctness,0.908343613
orient,brier_score,0.495669782
orient,cross_entropy,0.91661644
orient,ece,0.133458273
orient,kl_divergence,0.886360884
orient,expected_correctness,0.552315176
queer,brier_score,0.165920809
queer,cross_entropy,0.368424773
queer,ece,0.046302266
queer,kl_divergence,0.357244462
queer,expected_correctness,0.840715647
