term,metric,untruncated
all,brier_score,0.158605233
all,cross_entropy,0.335332006
all,ece,0.040104628
all,kl_divergence,0.324374437
all,expected_correctness,0.853693962
black,brier_score,0.035802901
black,cross_entropy,0.134084284
black,ece,0.018139205
black,kl_divergence,0.132529557
black,expected_correctness,0.976524293
gay,brier_score,0.08108563
gay,cross_entropy,0.216552511
gay,ece,0.025456249
gay,kl_divergence,0.20608896
gay,expected_correctness,0.932361484
indian,brier_score,0.122890964
indian,cross_entropy,0.362239987
indian,ece,0.056222437
indian,kl_divergence,0.35128054
indian,expected_correctness,0.908904552
orient,brier_score,0.555767357
orient,cross_entropy,1.013302445
orient,ece,0.153081271
orient,kl_divergence,0.977855265
orient,expected_correctness,0.492672056
queer,brier_score,0.178284854
queer,cross_entropy,0.466483235
queer,ece,0.076404067
queer,kl_divergence,0.446252912
queer,expected_correctness,0.871130645
