term,metric,512
all,brier_score,0.494387686
all,cross_entropy,1.118089914
all,ece,0.143253987
all,kl_divergence,1.086093187
all,expected_correctness,0.601457596
black,brier_score,0.338226259
black,cross_entropy,0.692119062
black,ece,0.108080593
black,kl_divergence,0.674356043
black,expected_correctness,0.748113513
gay,brier_score,0.566859663
gay,cross_entropy,1.220861673
gay,ece,0.221357065
gay,kl_divergence,1.188770175
gay,expected_correctness,0.556843519
indian,brier_score,0.639714658
indian,cross_entropy,1.400422454
indian,ece,0.117159607
indian,kl_divergence,1.351815581
indian,expected_correctness,0.388204545
orient,brier_score,0.64189285
orient,cross_entropy,1.503411293
orient,ece,0.128387538
orient,kl_divergence,1.472127557
orient,expected_correctness,0.384497494
queer,brier_score,0.591981471
queer,cross_entropy,1.464184523
queer,ece,0.182242154
queer,kl_divergence,1.394653559
queer,expected_correctness,0.412186474
