term,metric,512
all,brier_score,0.155545339
all,cross_entropy,0.369057447
all,ece,0.038300938
all,kl_divergence,0.359372497
all,expected_correctness,0.869487822
black,brier_score,0.028945057
black,cross_entropy,0.095239721
black,ece,0.007032326
black,kl_divergence,0.093691908
black,expected_correctness,0.973914981
gay,brier_score,0.081676066
gay,cross_entropy,0.248718783
gay,ece,0.04183239
gay,kl_divergence,0.238255218
gay,expected_correctness,0.950228512
indian,brier_score,0.12429709
indian,cross_entropy,0.400106639
indian,ece,0.053139241
indian,kl_divergence,0.389233172
indian,expected_correctness,0.912945926
orient,brier_score,0.495541871
orient,cross_entropy,0.925933063
orient,ece,0.103303397
orient,kl_divergence,0.895677328
orient,expected_correctness,0.519325733
queer,brier_score,0.168213174
queer,cross_entropy,0.382915765
queer,ece,0.066728508
queer,kl_divergence,0.371735364
queer,expected_correctness,0.805297375
