term,metric,128
all,brier_score,0.529754519
all,cross_entropy,1.184587955
all,ece,0.138475046
all,kl_divergence,1.150743246
all,expected_correctness,0.550297081
black,brier_score,0.33175838
black,cross_entropy,0.649029732
black,ece,0.088621775
black,kl_divergence,0.62983048
black,expected_correctness,0.709276974
gay,brier_score,0.558173001
gay,cross_entropy,1.291221738
gay,ece,0.238649596
gay,kl_divergence,1.258524776
gay,expected_correctness,0.580112755
indian,brier_score,0.65927434
indian,cross_entropy,1.403162479
indian,ece,0.13905197
indian,kl_divergence,1.354555488
indian,expected_correctness,0.362495303
orient,brier_score,0.646460593
orient,cross_entropy,1.477194548
orient,ece,0.245423301
orient,kl_divergence,1.438741207
orient,expected_correctness,0.47907266
queer,brier_score,0.644571126
queer,cross_entropy,1.439437747
queer,ece,0.186991557
queer,kl_divergence,1.368708014
queer,expected_correctness,0.457980782
