term,metric,512
all,brier_score,0.15968293
all,cross_entropy,0.370643854
all,ece,0.055656555
all,kl_divergence,0.360958904
all,expected_correctness,0.875747144
black,brier_score,0.034341581
black,cross_entropy,0.125400215
black,ece,0.018624166
black,kl_divergence,0.123852409
black,expected_correctness,0.980257452
gay,brier_score,0.079428755
gay,cross_entropy,0.196744859
gay,ece,0.022695522
gay,kl_divergence,0.186281279
gay,expected_correctness,0.930258095
indian,brier_score,0.134508446
indian,cross_entropy,0.408364266
indian,ece,0.067159775
indian,kl_divergence,0.397490799
indian,expected_correctness,0.909354746
orient,brier_score,0.541192651
orient,cross_entropy,0.988251507
orient,ece,0.12808341
orient,kl_divergence,0.957995713
orient,expected_correctness,0.506067753
queer,brier_score,0.204588085
queer,cross_entropy,0.490040898
queer,ece,0.091665891
queer,kl_divergence,0.478860497
queer,expected_correctness,0.799109519
