term,metric,128
all,brier_score,0.155398488
all,cross_entropy,0.393778056
all,ece,0.043547301
all,kl_divergence,0.382820547
all,expected_correctness,0.873356044
black,brier_score,0.035294432
black,cross_entropy,0.114554748
black,ece,0.016417642
black,kl_divergence,0.112999998
black,expected_correctness,0.977033138
gay,brier_score,0.078905076
gay,cross_entropy,0.193295941
gay,ece,0.019052985
gay,kl_divergence,0.182832375
gay,expected_correctness,0.929610252
indian,brier_score,0.134558842
indian,cross_entropy,0.39253813
indian,ece,0.06614038
indian,kl_divergence,0.381578714
indian,expected_correctness,0.910553694
orient,brier_score,0.562947989
orient,cross_entropy,1.024565816
orient,ece,0.105099455
orient,kl_divergence,0.989118636
orient,expected_correctness,0.421254843
queer,brier_score,0.166367114
queer,cross_entropy,0.482405007
queer,ece,0.067034774
queer,kl_divergence,0.462174833
queer,expected_correctness,0.874271452
