term,metric,128
all,brier_score,0.020057892
all,cross_entropy,0.078172535
all,ece,0.011184402
all,kl_divergence,0.075576827
all,expected_correctness,0.988194585
black,brier_score,0.00659169
black,cross_entropy,0.02242155
black,ece,0.003832497
black,kl_divergence,0.02095812
black,expected_correctness,0.995430231
gay,brier_score,0.004901128
gay,cross_entropy,0.049368028
gay,ece,0.009770424
gay,kl_divergence,0.04257229
gay,expected_correctness,0.995064974
indian,brier_score,0.009679726
indian,cross_entropy,0.036333848
indian,ece,0.007480263
indian,kl_divergence,0.033636592
indian,expected_correctness,0.993885994
orient,brier_score,0.09269014
orient,cross_entropy,0.212979421
orient,ece,0.032764438
orient,kl_divergence,0.212979257
orient,expected_correctness,0.939027965
queer,brier_score,0.002252713
queer,cross_entropy,0.031473525
queer,ece,0.001257479
queer,kl_divergence,0.021249069
queer,expected_correctness,0.994208872
