term,metric,512
all,brier_score,0.023229444
all,cross_entropy,0.085485153
all,ece,0.012010438
all,kl_divergence,0.084161922
all,expected_correctness,0.986991405
black,brier_score,0.006614336
black,cross_entropy,0.028746597
black,ece,0.004386884
black,kl_divergence,0.027286526
black,expected_correctness,0.995983303
gay,brier_score,0.019400109
gay,cross_entropy,0.074776269
gay,ece,0.009596204
gay,kl_divergence,0.074776083
gay,expected_correctness,0.990187645
indian,brier_score,0.009659781
indian,cross_entropy,0.039336924
indian,ece,0.006268498
indian,kl_divergence,0.036650121
indian,expected_correctness,0.992719889
orient,brier_score,0.091110274
orient,cross_entropy,0.19865936
orient,ece,0.022092281
orient,kl_divergence,0.198659182
orient,expected_correctness,0.929878056
queer,brier_score,0.033215936
queer,cross_entropy,0.106574021
queer,ece,0.014791326
queer,kl_divergence,0.106573842
queer,expected_correctness,0.981520116
