term,metric,128
all,brier_score,0.161903083
all,cross_entropy,0.410615504
all,ece,0.060299762
all,kl_divergence,0.399658024
all,expected_correctness,0.875391245
black,brier_score,0.036776572
black,cross_entropy,0.129804865
black,ece,0.019194405
black,kl_divergence,0.128250107
black,expected_correctness,0.980072856
gay,brier_score,0.079650141
gay,cross_entropy,0.201180831
gay,ece,0.02662957
gay,kl_divergence,0.190717265
gay,expected_correctness,0.936454356
indian,brier_score,0.124163553
indian,cross_entropy,0.384327471
indian,ece,0.070809547
indian,kl_divergence,0.373368025
indian,expected_correctness,0.92145884
orient,brier_score,0.504817963
orient,cross_entropy,0.958294511
orient,ece,0.056047045
orient,kl_divergence,0.92284739
orient,expected_correctness,0.511120439
queer,brier_score,0.197099641
queer,cross_entropy,0.488255292
queer,ece,0.079758738
queer,kl_divergence,0.468024999
queer,expected_correctness,0.847091854
