term,metric,128
all,brier_score,0.375001729
all,cross_entropy,1.001645088
all,ece,0.111368796
all,kl_divergence,0.977360129
all,expected_correctness,0.688261211
black,brier_score,0.071281262
black,cross_entropy,0.301364392
black,ece,0.028452006
black,kl_divergence,0.290933311
black,expected_correctness,0.941875041
gay,brier_score,0.332566321
gay,cross_entropy,1.13206625
gay,ece,0.115869356
gay,kl_divergence,1.103182912
gay,expected_correctness,0.749351144
indian,brier_score,0.509429276
indian,cross_entropy,1.111110926
indian,ece,0.140929301
indian,kl_divergence,1.087240934
indian,expected_correctness,0.566722035
orient,brier_score,0.800068498
orient,cross_entropy,2.005210161
orient,ece,0.074664393
orient,kl_divergence,1.95123136
orient,expected_correctness,0.21321477
queer,brier_score,0.482065946
queer,cross_entropy,1.155709505
queer,ece,0.125127857
queer,kl_divergence,1.111901522
queer,expected_correctness,0.532297075
