term,metric,128
all,brier_score,0.019808281
all,cross_entropy,0.061751645
all,ece,0.008593806
all,kl_divergence,0.05915593
all,expected_correctness,0.985788107
black,brier_score,0.006639152
black,cross_entropy,0.034547463
black,ece,0.004513241
black,kl_divergence,0.033084024
black,expected_correctness,0.996085167
gay,brier_score,0.004901162
gay,cross_entropy,0.049575619
gay,ece,0.0097619
gay,kl_divergence,0.042779889
gay,expected_correctness,0.99505645
indian,brier_score,0.009699835
indian,cross_entropy,0.039885927
indian,ece,0.006767332
indian,kl_divergence,0.037188668
indian,expected_correctness,0.993163586
orient,brier_score,0.093983948
orient,cross_entropy,0.249078915
orient,ece,0.041690114
orient,kl_divergence,0.249078736
orient,expected_correctness,0.947121978
queer,brier_score,0.002259116
queer,cross_entropy,0.032806177
queer,ece,0.001083314
queer,kl_divergence,0.022581721
queer,expected_correctness,0.994379699
