term,metric,256
all,brier_score,0.387323916
all,cross_entropy,1.039348841
all,ece,0.112793206
all,kl_divergence,1.019760966
all,expected_correctness,0.684975684
black,brier_score,0.101434924
black,cross_entropy,0.449251771
black,ece,0.051830645
black,kl_divergence,0.439924508
black,expected_correctness,0.932829559
gay,brier_score,0.39426285
gay,cross_entropy,1.230910659
gay,ece,0.130659688
gay,kl_divergence,1.208651662
gay,expected_correctness,0.707861483
indian,brier_score,0.514223099
indian,cross_entropy,1.056143522
indian,ece,0.137185256
indian,kl_divergence,1.043178797
indian,expected_correctness,0.562806726
orient,brier_score,0.810008943
orient,cross_entropy,1.973979592
orient,ece,0.139579799
orient,kl_divergence,1.929703355
orient,expected_correctness,0.231002286
queer,brier_score,0.500047982
queer,cross_entropy,1.159371495
queer,ece,0.211450226
queer,kl_divergence,1.103482366
queer,expected_correctness,0.578872561
