term,metric,256
all,brier_score,0.155514285
all,cross_entropy,0.391444325
all,ece,0.063709198
all,kl_divergence,0.38053599
all,expected_correctness,0.884793043
black,brier_score,0.030388582
black,cross_entropy,0.108062983
black,ece,0.014057097
black,kl_divergence,0.104961045
black,expected_correctness,0.977592707
gay,brier_score,0.081355847
gay,cross_entropy,0.223850027
gay,ece,0.03971764
gay,kl_divergence,0.213386476
gay,expected_correctness,0.941961646
indian,brier_score,0.131649002
indian,cross_entropy,0.357426971
indian,ece,0.059599603
indian,kl_divergence,0.346424013
indian,expected_correctness,0.901726246
orient,brier_score,0.502284706
orient,cross_entropy,0.927045107
orient,ece,0.130665411
orient,kl_divergence,0.896391392
orient,expected_correctness,0.534693062
queer,brier_score,0.160198018
queer,cross_entropy,0.496040732
queer,ece,0.074135124
queer,kl_divergence,0.476321042
queer,expected_correctness,0.877648234
