term,metric,untruncated
all,brier_score,0.134216398
all,cross_entropy,0.239618272
all,ece,0.020987438
all,kl_divergence,0.231796816
all,expected_correctness,0.873485863
black,brier_score,0.030706752
black,cross_entropy,0.062617116
black,ece,0.017856891
black,kl_divergence,0.061119858
black,expected_correctness,0.976764083
gay,brier_score,0.081701152
gay,cross_entropy,0.198293418
gay,ece,0.029339618
gay,kl_divergence,0.192288384
gay,expected_correctness,0.939649701
indian,brier_score,0.128681153
indian,cross_entropy,0.260542363
indian,ece,0.028085957
indian,kl_divergence,0.252544343
indian,expected_correctness,0.881167114
orient,brier_score,0.455303073
orient,cross_entropy,0.692991257
orient,ece,0.091318197
orient,kl_divergence,0.671193957
orient,expected_correctness,0.58025074
queer,brier_score,0.120729394
queer,cross_entropy,0.271801382
queer,ece,0.033683847
queer,kl_divergence,0.250003457
queer,expected_correctness,0.903422892
