term,metric,512
all,brier_score,0.151393518
all,cross_entropy,0.297918916
all,ece,0.059529542
all,kl_divergence,0.28936255
all,expected_correctness,0.887665689
black,brier_score,0.026681693
black,cross_entropy,0.05519947
black,ece,0.005800975
black,kl_divergence,0.053652082
black,expected_correctness,0.975564897
gay,brier_score,0.082944334
gay,cross_entropy,0.211166382
gay,ece,0.037623349
gay,kl_divergence,0.205104142
gay,expected_correctness,0.946519315
indian,brier_score,0.145756841
indian,cross_entropy,0.299815655
indian,ece,0.049476927
indian,kl_divergence,0.291660815
indian,expected_correctness,0.888736963
orient,brier_score,0.44749105
orient,cross_entropy,0.669058561
orient,ece,0.150518318
orient,kl_divergence,0.638803184
orient,expected_correctness,0.604742765
queer,brier_score,0.204792559
queer,cross_entropy,0.369312227
queer,ece,0.01870722
queer,kl_divergence,0.358132124
queer,expected_correctness,0.795418024
