term,metric,256
all,brier_score,0.019660136
all,cross_entropy,0.071763486
all,ece,0.010541708
all,kl_divergence,0.069167785
all,expected_correctness,0.987786174
black,brier_score,0.008510713
black,cross_entropy,0.024477396
black,ece,0.005521806
black,kl_divergence,0.023017317
black,expected_correctness,0.990420222
gay,brier_score,0.004950147
gay,cross_entropy,0.054208744
gay,ece,0.009889308
gay,kl_divergence,0.04734572
gay,expected_correctness,0.995037973
indian,brier_score,0.009719489
indian,cross_entropy,0.037442468
indian,ece,0.005785704
indian,kl_divergence,0.034734681
indian,expected_correctness,0.992141485
orient,brier_score,0.091888286
orient,cross_entropy,0.204948038
orient,ece,0.028159026
orient,kl_divergence,0.204947844
orient,expected_correctness,0.934825242
queer,brier_score,0.002154569
queer,cross_entropy,0.02798178
queer,ece,0.002827704
queer,kl_divergence,0.01811607
queer,expected_correctness,0.99281466
