term,metric,256
all,brier_score,0.159470737
all,cross_entropy,0.360776246
all,ece,0.041199047
all,kl_divergence,0.34986791
all,expected_correctness,0.859005213
black,brier_score,0.033243716
black,cross_entropy,0.140764609
black,ece,0.019642967
black,kl_divergence,0.137662694
black,expected_correctness,0.981772721
gay,brier_score,0.075650342
gay,cross_entropy,0.218300581
gay,ece,0.023968589
gay,kl_divergence,0.207837
gay,expected_correctness,0.937957466
indian,brier_score,0.130926684
indian,cross_entropy,0.370596141
indian,ece,0.060634862
indian,kl_divergence,0.359593242
indian,expected_correctness,0.902539849
orient,brier_score,0.5203408
orient,cross_entropy,0.980619133
orient,ece,0.099934632
orient,kl_divergence,0.949965239
orient,expected_correctness,0.521826327
queer,brier_score,0.185167745
queer,cross_entropy,0.402496368
queer,ece,0.073054198
queer,kl_divergence,0.382776648
queer,expected_correctness,0.847981155
