term,metric,128
all,brier_score,0.155489936
all,cross_entropy,0.288965493
all,ece,0.042893966
all,kl_divergence,0.27983126
all,expected_correctness,0.865626991
black,brier_score,0.036230892
black,cross_entropy,0.122465499
black,ece,0.018777233
black,kl_divergence,0.120911188
black,expected_correctness,0.979955375
gay,brier_score,0.081232034
gay,cross_entropy,0.185917839
gay,ece,0.019757512
gay,kl_divergence,0.179855615
gay,expected_correctness,0.930182457
indian,brier_score,0.130869538
indian,cross_entropy,0.292984903
indian,ece,0.057063503
indian,kl_divergence,0.284765601
indian,expected_correctness,0.900077701
orient,brier_score,0.396573991
orient,cross_entropy,0.613281846
orient,ece,0.096234443
orient,kl_divergence,0.582425475
orient,expected_correctness,0.620027542
queer,brier_score,0.122574545
queer,cross_entropy,0.254540652
queer,ece,0.049136412
queer,kl_divergence,0.234310836
queer,expected_correctness,0.904933333
