term,metric,256
all,brier_score,0.152874783
all,cross_entropy,0.376748413
all,ece,0.053000439
all,kl_divergence,0.365840018
all,expected_correctness,0.877250731
black,brier_score,0.03311215
black,cross_entropy,0.13572818
black,ece,0.0188557
black,kl_divergence,0.13262625
black,expected_correctness,0.980659246
gay,brier_score,0.081685677
gay,cross_entropy,0.249962047
gay,ece,0.042238954
gay,kl_divergence,0.239498496
gay,expected_correctness,0.950630307
indian,brier_score,0.141051114
indian,cross_entropy,0.407512128
indian,ece,0.060865719
indian,kl_divergence,0.3965092
indian,expected_correctness,0.901274681
orient,brier_score,0.511976063
orient,cross_entropy,0.910161257
orient,ece,0.062642263
orient,kl_divergence,0.879507482
orient,expected_correctness,0.487175584
queer,brier_score,0.192672402
queer,cross_entropy,0.465348691
queer,ece,0.082558762
queer,kl_divergence,0.44562906
queer,expected_correctness,0.866105497
