term,metric,512
all,brier_score,0.160937697
all,cross_entropy,0.410070091
all,ece,0.065580283
all,kl_divergence,0.400385112
all,expected_correctness,0.881478667
black,brier_score,0.032868497
black,cross_entropy,0.117999025
black,ece,0.013944648
black,kl_divergence,0.116451211
black,expected_correctness,0.977925658
gay,brier_score,0.079289354
gay,cross_entropy,0.198005855
gay,ece,0.019891205
gay,kl_divergence,0.187542275
gay,expected_correctness,0.930196106
indian,brier_score,0.124319077
indian,cross_entropy,0.395911306
indian,ece,0.052211596
indian,kl_divergence,0.385037869
indian,expected_correctness,0.903746963
orient,brier_score,0.527235329
orient,cross_entropy,0.951897383
orient,ece,0.116020536
orient,kl_divergence,0.921641767
orient,expected_correctness,0.490172535
queer,brier_score,0.190311953
queer,cross_entropy,0.493532479
queer,ece,0.082349855
queer,kl_divergence,0.482352167
queer,expected_correctness,0.865395665
