term,metric,128
all,brier_score,0.383398533
all,cross_entropy,1.048885345
all,ece,0.112139647
all,kl_divergence,1.024600506
all,expected_correctness,0.68189013
black,brier_score,0.068067782
black,cross_entropy,0.327250838
black,ece,0.028510803
black,kl_divergence,0.316819757
black,expected_correctness,0.944470465
gay,brier_score,0.329176068
gay,cross_entropy,1.076643467
gay,ece,0.129146177
gay,kl_divergence,1.047760248
gay,expected_correctness,0.754066169
indian,brier_score,0.535359919
indian,cross_entropy,1.112894177
indian,ece,0.155228773
indian,kl_divergence,1.089024186
indian,expected_correctness,0.550520599
orient,brier_score,0.822472572
orient,cross_entropy,2.045493603
orient,ece,0.13541995
orient,kl_divergence,1.991514683
orient,expected_correctness,0.217916593
queer,brier_score,0.486736625
queer,cross_entropy,1.094082594
queer,ece,0.094814209
queer,kl_divergence,1.050274611
queer,expected_correctness,0.537123322
