term,metric,256
all,brier_score,0.145501152
all,cross_entropy,0.26525709
all,ece,0.058309888
all,kl_divergence,0.255488455
all,expected_correctness,0.882012904
black,brier_score,0.029722078
black,cross_entropy,0.079979129
black,ece,0.011773475
black,kl_divergence,0.076877609
black,expected_correctness,0.973567426
gay,brier_score,0.096427836
gay,cross_entropy,0.199215874
gay,ece,0.048886132
gay,kl_divergence,0.193153679
gay,expected_correctness,0.923740447
indian,brier_score,0.127889991
indian,cross_entropy,0.271443725
indian,ece,0.048371772
indian,kl_divergence,0.263191789
indian,expected_correctness,0.904539704
orient,brier_score,0.411671072
orient,cross_entropy,0.624213755
orient,ece,0.096694609
orient,kl_divergence,0.593560398
orient,expected_correctness,0.58966887
queer,brier_score,0.156051457
queer,cross_entropy,0.308260798
queer,ece,0.084100979
queer,kl_divergence,0.288541466
queer,expected_correctness,0.881844401
