term,metric,128
all,brier_score,0.019794397
all,cross_entropy,0.075322397
all,ece,0.010100849
all,kl_divergence,0.072726689
all,expected_correctness,0.987342656
black,brier_score,0.005762784
black,cross_entropy,0.011424152
black,ece,0.002656942
black,kl_divergence,0.009960718
black,expected_correctness,0.99488169
gay,brier_score,0.004900338
gay,cross_entropy,0.046119377
gay,ece,0.009719939
gay,kl_divergence,0.039323639
gay,expected_correctness,0.995014846
indian,brier_score,0.009708306
indian,cross_entropy,0.041847356
indian,ece,0.006911218
indian,kl_divergence,0.039150104
indian,expected_correctness,0.993303001
orient,brier_score,0.09377417
orient,cross_entropy,0.235482022
orient,ece,0.039205733
orient,kl_divergence,0.235481828
orient,expected_correctness,0.944770455
queer,brier_score,0.002252965
queer,cross_entropy,0.031596571
queer,ece,0.001239717
queer,kl_divergence,0.021372115
queer,expected_correctness,0.994226217
