term,metric,512
all,brier_score,0.127050519
all,cross_entropy,0.278993219
all,ece,0.038448298
all,kl_divergence,0.270436853
all,expected_correctness,0.884718835
black,brier_score,0.027637243
black,cross_entropy,0.085488282
black,ece,0.012450444
black,kl_divergence,0.083940901
black,expected_correctness,0.979346573
gay,brier_score,0.083160691
gay,cross_entropy,0.216184437
gay,ece,0.03681058
gay,kl_divergence,0.210122243
gay,expected_correctness,0.945617259
indian,brier_score,0.104846083
indian,cross_entropy,0.273189515
indian,ece,0.056948537
indian,kl_divergence,0.265034705
indian,expected_correctness,0.93296653
orient,brier_score,0.418718815
orient,cross_entropy,0.660177648
orient,ece,0.141506243
orient,kl_divergence,0.62992233
orient,expected_correctness,0.637973607
queer,brier_score,0.145424902
queer,cross_entropy,0.297112316
queer,ece,0.069682869
queer,kl_divergence,0.285932332
queer,expected_correctness,0.903303504
