term,metric,256
all,brier_score,0.01999598
all,cross_entropy,0.071860567
all,ece,0.010664233
all,kl_divergence,0.069264866
all,expected_correctness,0.987707675
black,brier_score,0.00692908
black,cross_entropy,0.019158436
black,ece,0.004784127
black,kl_divergence,0.017698359
black,expected_correctness,0.987410307
gay,brier_score,0.004950219
gay,cross_entropy,0.055351608
gay,ece,0.009886685
gay,kl_divergence,0.048488576
gay,expected_correctness,0.99503535
indian,brier_score,0.00973398
indian,cross_entropy,0.039367918
indian,ece,0.006711245
indian,kl_divergence,0.036660127
indian,expected_correctness,0.993056417
orient,brier_score,0.093224354
orient,cross_entropy,0.211985514
orient,ece,0.031736378
orient,kl_divergence,0.211985335
orient,expected_correctness,0.93744272
queer,brier_score,0.002175399
queer,cross_entropy,0.030493623
queer,ece,0.001891434
queer,kl_divergence,0.020627908
queer,expected_correctness,0.993735552
