term,metric,untruncated
all,brier_score,0.479387045
all,cross_entropy,1.080223799
all,ece,0.112896149
all,kl_divergence,1.051476955
all,expected_correctness,0.597735286
black,brier_score,0.334290147
black,cross_entropy,0.650152743
black,ece,0.072128214
black,kl_divergence,0.633754373
black,expected_correctness,0.714694977
gay,brier_score,0.596436262
gay,cross_entropy,1.326999426
gay,ece,0.190826382
gay,kl_divergence,1.308093905
gay,expected_correctness,0.506236494
indian,brier_score,0.66857779
indian,cross_entropy,1.409674644
indian,ece,0.173221109
indian,kl_divergence,1.362060189
indian,expected_correctness,0.388267189
orient,brier_score,0.661750853
orient,cross_entropy,1.474369645
orient,ece,0.197036537
orient,kl_divergence,1.44821167
orient,expected_correctness,0.446079612
queer,brier_score,0.617645562
queer,cross_entropy,1.47074616
queer,ece,0.1922103
queer,kl_divergence,1.401215434
queer,expected_correctness,0.450079292
