term,metric,untruncated
all,brier_score,0.396664947
all,cross_entropy,1.054858685
all,ece,0.12364904
all,kl_divergence,1.035959959
all,expected_correctness,0.683603466
black,brier_score,0.087909579
black,cross_entropy,0.370078236
black,ece,0.042746671
black,kl_divergence,0.3639687
black,expected_correctness,0.941699624
gay,brier_score,0.376052231
gay,cross_entropy,1.119594455
gay,ece,0.12859551
gay,kl_divergence,1.107214689
gay,expected_correctness,0.718424439
indian,brier_score,0.531727672
indian,cross_entropy,1.04016602
indian,ece,0.089664781
indian,kl_divergence,1.027201176
indian,expected_correctness,0.50178194
orient,brier_score,0.841504931
orient,cross_entropy,2.065485239
orient,ece,0.167055905
orient,kl_divergence,2.035323858
orient,expected_correctness,0.199954152
queer,brier_score,0.489219487
queer,cross_entropy,1.162589788
queer,ece,0.11317867
queer,kl_divergence,1.118781805
queer,expected_correctness,0.550905168
