term,metric,256
all,brier_score,0.398574203
all,cross_entropy,1.100346565
all,ece,0.101564313
all,kl_divergence,1.080758572
all,expected_correctness,0.661252379
black,brier_score,0.086339012
black,cross_entropy,0.372747242
black,ece,0.037279582
black,kl_divergence,0.36341992
black,expected_correctness,0.935977161
gay,brier_score,0.366494507
gay,cross_entropy,1.173407793
gay,ece,0.144539773
gay,kl_divergence,1.151148677
gay,expected_correctness,0.742907047
indian,brier_score,0.523535132
indian,cross_entropy,1.127090454
indian,ece,0.129879901
indian,kl_divergence,1.11412549
indian,expected_correctness,0.56067878
orient,brier_score,0.856150866
orient,cross_entropy,2.022109509
orient,ece,0.230695951
orient,kl_divergence,1.977833152
orient,expected_correctness,0.236598566
queer,brier_score,0.540881634
queer,cross_entropy,1.158755898
queer,ece,0.147527979
queer,kl_divergence,1.10286653
queer,expected_correctness,0.49452588
