term,metric,512
all,brier_score,0.02299027
all,cross_entropy,0.060972027
all,ece,0.006668582
all,kl_divergence,0.059648801
all,expected_correctness,0.975442588
black,brier_score,0.006622964
black,cross_entropy,0.03279854
black,ece,0.004480464
black,kl_divergence,0.031338468
black,expected_correctness,0.996072173
gay,brier_score,0.019416336
gay,cross_entropy,0.101347648
gay,ece,0.009675121
gay,kl_divergence,0.101347461
gay,expected_correctness,0.990258217
indian,brier_score,0.009682564
indian,cross_entropy,0.047354888
indian,ece,0.00719529
indian,kl_divergence,0.04466809
indian,expected_correctness,0.993633389
orient,brier_score,0.092522107
orient,cross_entropy,0.236617371
orient,ece,0.039132515
orient,kl_divergence,0.236617193
orient,expected_correctness,0.942760587
queer,brier_score,0.033274073
queer,cross_entropy,0.117523834
queer,ece,0.015715853
queer,kl_divergence,0.11752367
queer,expected_correctness,0.982413113
