term,metric,128
all,brier_score,0.400804222
all,cross_entropy,1.142638206
all,ece,0.115831073
all,kl_divergence,1.118353367
all,expected_correctness,0.676675022
black,brier_score,0.093225732
black,cross_entropy,0.326018482
black,ece,0.036913358
black,kl_divergence,0.315587431
black,expected_correctness,0.927918077
gay,brier_score,0.339857668
gay,cross_entropy,1.158954024
gay,ece,0.118055287
gay,kl_divergence,1.130070806
gay,expected_correctness,0.74020946
indian,brier_score,0.541123569
indian,cross_entropy,1.129064083
indian,ece,0.158521816
indian,kl_divergence,1.105194092
indian,expected_correctness,0.547032118
orient,brier_score,0.868934035
orient,cross_entropy,2.049633265
orient,ece,0.229561531
orient,kl_divergence,1.995654225
orient,expected_correctness,0.249010682
queer,brier_score,0.481608033
queer,cross_entropy,1.161815166
queer,ece,0.078821982
queer,kl_divergence,1.118007421
queer,expected_correctness,0.54293257
