term,metric,untruncated
all,brier_score,0.394321458
all,cross_entropy,1.013538515
all,ece,0.038188402
all,kl_divergence,0.999150707
all,expected_correctness,0.610850416
black,brier_score,0.082234267
black,cross_entropy,0.237411159
black,ece,0.012796178
black,kl_divergence,0.231304135
black,expected_correctness,0.911109918
gay,brier_score,0.353191
gay,cross_entropy,0.931522697
gay,ece,0.062273153
gay,kl_divergence,0.919145068
gay,expected_correctness,0.63200446
indian,brier_score,0.521505868
indian,cross_entropy,1.007258305
indian,ece,0.04295084
indian,kl_divergence,0.994180056
indian,expected_correctness,0.474208823
orient,brier_score,0.798396273
orient,cross_entropy,1.902215587
orient,ece,0.027252478
orient,kl_divergence,1.872055856
orient,expected_correctness,0.186586542
queer,brier_score,0.512394103
queer,cross_entropy,1.046201509
queer,ece,0.067280274
queer,kl_divergence,1.002395771
queer,expected_correctness,0.465643342
