term,metric,128
all,brier_score,0.507999154
all,cross_entropy,1.083425099
all,ece,0.051807355
all,kl_divergence,1.049581816
all,expected_correctness,0.470785764
black,brier_score,0.341934036
black,cross_entropy,0.672394276
black,ece,0.040665081
black,kl_divergence,0.653196411
black,expected_correctness,0.652096001
gay,brier_score,0.545239016
gay,cross_entropy,1.15486257
gay,ece,0.090396373
gay,kl_divergence,1.122166948
gay,expected_correctness,0.446669042
indian,brier_score,0.635804463
indian,cross_entropy,1.35333241
indian,ece,0.056503386
indian,kl_divergence,1.304726752
indian,expected_correctness,0.323714168
orient,brier_score,0.586653487
orient,cross_entropy,1.306321301
orient,ece,0.13431694
orient,kl_divergence,1.267869364
orient,expected_correctness,0.381515587
queer,brier_score,0.558765187
queer,cross_entropy,1.297107239
queer,ece,0.131326768
queer,kl_divergence,1.226378789
queer,expected_correctness,0.387357021
