term,metric,256
all,brier_score,0.384850607
all,cross_entropy,1.011408543
all,ece,0.032848166
all,kl_divergence,0.991833217
all,expected_correctness,0.6138745
black,brier_score,0.0767013
black,cross_entropy,0.224467921
black,ece,0.013658044
black,kl_divergence,0.215143071
black,expected_correctness,0.914814563
gay,brier_score,0.328170605
gay,cross_entropy,0.915985112
gay,ece,0.088789861
gay,kl_divergence,0.893728092
gay,expected_correctness,0.643421474
indian,brier_score,0.521618774
indian,cross_entropy,0.972899665
indian,ece,0.074872909
indian,kl_divergence,0.959937296
indian,expected_correctness,0.489313451
orient,brier_score,0.791658986
orient,cross_entropy,1.919003304
orient,ece,0.041890931
orient,kl_divergence,1.87472924
orient,expected_correctness,0.184214012
queer,brier_score,0.472233828
queer,cross_entropy,0.987301407
queer,ece,0.074719563
queer,kl_divergence,0.931414474
queer,expected_correctness,0.491120984
