term,metric,256
all,brier_score,0.130412883
all,cross_entropy,0.231209105
all,ece,0.012059274
all,kl_divergence,0.22144062
all,expected_correctness,0.864165411
black,brier_score,0.02357285
black,cross_entropy,0.059877443
black,ece,0.008076239
black,kl_divergence,0.056776113
black,expected_correctness,0.973273264
gay,brier_score,0.081044904
gay,cross_entropy,0.176855304
gay,ece,0.00898942
gay,kl_divergence,0.170793264
gay,expected_correctness,0.914178543
indian,brier_score,0.125065745
indian,cross_entropy,0.243216641
indian,ece,0.016584911
indian,kl_divergence,0.234964889
indian,expected_correctness,0.868557775
orient,brier_score,0.399192799
orient,cross_entropy,0.609234477
orient,ece,0.045963092
orient,kl_divergence,0.578581283
orient,expected_correctness,0.579089045
queer,brier_score,0.124492684
queer,cross_entropy,0.218470589
queer,ece,0.046984321
queer,kl_divergence,0.198751479
queer,expected_correctness,0.870355005
