term,metric,256
all,brier_score,0.146575443
all,cross_entropy,0.311883919
all,ece,0.017010214
all,kl_divergence,0.300976138
all,expected_correctness,0.845813754
black,brier_score,0.02439942
black,cross_entropy,0.074511428
black,ece,0.007752207
black,kl_divergence,0.071410099
black,expected_correctness,0.971822607
gay,brier_score,0.078304939
gay,cross_entropy,0.191186735
gay,ece,0.009071491
gay,kl_divergence,0.180723761
gay,expected_correctness,0.917652513
indian,brier_score,0.132773099
indian,cross_entropy,0.316533431
indian,ece,0.021043098
indian,kl_divergence,0.305531094
indian,expected_correctness,0.859939126
orient,brier_score,0.496072876
orient,cross_entropy,0.905350759
orient,ece,0.093381444
orient,kl_divergence,0.874697565
orient,expected_correctness,0.482799893
queer,brier_score,0.167025466
queer,cross_entropy,0.43603275
queer,ece,0.120981842
queer,kl_divergence,0.41631364
queer,expected_correctness,0.801331389
