term,metric,untruncated
all,brier_score,0.022168715
all,cross_entropy,0.059093654
all,ece,0.002278243
all,kl_divergence,0.057807715
all,expected_correctness,0.977395953
black,brier_score,0.006580574
black,cross_entropy,0.020446392
black,ece,0.002220914
black,kl_divergence,0.019028765
black,expected_correctness,0.992887033
gay,brier_score,0.017575041
gay,cross_entropy,0.04752941
gay,ece,0.000669215
gay,kl_divergence,0.04752941
gay,expected_correctness,0.983030023
indian,brier_score,0.009483028
indian,cross_entropy,0.032134687
indian,ece,0.00232777
indian,kl_divergence,0.029468736
indian,expected_correctness,0.988983536
orient,brier_score,0.087259267
orient,cross_entropy,0.185669686
orient,ece,8.75565E-05
orient,kl_divergence,0.185669686
orient,expected_correctness,0.912667986
queer,brier_score,0.032782738
queer,cross_entropy,0.084841307
queer,ece,3.03229E-05
queer,kl_divergence,0.084841307
queer,expected_correctness,0.967190439
