term,metric,128
all,brier_score,0.019829999
all,cross_entropy,0.056669658
all,ece,0.002436339
all,kl_divergence,0.054074132
all,expected_correctness,0.978628674
black,brier_score,0.006638565
black,cross_entropy,0.024628088
black,ece,0.000746883
black,kl_divergence,0.023164837
black,expected_correctness,0.992351765
gay,brier_score,0.004654843
gay,cross_entropy,0.023805173
gay,ece,0.005940468
gay,kl_divergence,0.017009612
gay,expected_correctness,0.991400168
indian,brier_score,0.009551439
indian,cross_entropy,0.03176102
indian,ece,0.002529263
indian,kl_divergence,0.029063949
indian,expected_correctness,0.989042178
orient,brier_score,0.090667571
orient,cross_entropy,0.191363128
orient,ece,0.000124034
orient,kl_divergence,0.191363128
orient,expected_correctness,0.909242432
queer,brier_score,0.002231547
queer,cross_entropy,0.029059261
queer,ece,0.004548252
queer,kl_divergence,0.018834986
queer,expected_correctness,0.990947495
