term,metric,128
all,brier_score,0.13329769
all,cross_entropy,0.237601492
all,ece,0.015429815
all,kl_divergence,0.228467431
all,expected_correctness,0.860853114
black,brier_score,0.02646563
black,cross_entropy,0.064494834
black,ece,0.007702858
black,kl_divergence,0.062940692
black,expected_correctness,0.971280105
gay,brier_score,0.080700148
gay,cross_entropy,0.181785981
gay,ece,0.003199997
gay,kl_divergence,0.175723941
gay,expected_correctness,0.915087896
indian,brier_score,0.128177155
indian,cross_entropy,0.249451005
indian,ece,0.015611688
indian,kl_divergence,0.241231869
indian,expected_correctness,0.865173234
orient,brier_score,0.410983217
orient,cross_entropy,0.623409916
orient,ece,0.021180465
orient,kl_divergence,0.59255372
orient,expected_correctness,0.566774753
queer,brier_score,0.119279663
queer,cross_entropy,0.213192181
queer,ece,0.047752801
queer,kl_divergence,0.192962527
queer,expected_correctness,0.873985368
