term,metric,512
all,brier_score,0.022899226
all,cross_entropy,0.061573816
all,ece,0.002322538
all,kl_divergence,0.06025077
all,expected_correctness,0.976475155
black,brier_score,0.006632663
black,cross_entropy,0.024550783
black,ece,0.001207813
black,kl_divergence,0.023090888
black,expected_correctness,0.992367544
gay,brier_score,0.019037275
gay,cross_entropy,0.050171008
gay,ece,0.000919675
gay,kl_divergence,0.050171008
gay,expected_correctness,0.981773092
indian,brier_score,0.00956315
indian,cross_entropy,0.032496328
indian,ece,0.002304431
indian,kl_divergence,0.029809711
indian,expected_correctness,0.988855951
orient,brier_score,0.090035778
orient,cross_entropy,0.190164541
orient,ece,4.53607E-05
orient,kl_divergence,0.190164541
orient,expected_correctness,0.909919756
queer,brier_score,0.03278253
queer,cross_entropy,0.084838127
queer,ece,2.43028E-05
queer,kl_divergence,0.084838127
queer,expected_correctness,0.967196408
