term,metric,512
all,brier_score,0.148548892
all,cross_entropy,0.313654944
all,ece,0.021434605
all,kl_divergence,0.303970588
all,expected_correctness,0.844664928
black,brier_score,0.027215568
black,cross_entropy,0.077531668
black,ece,0.007590949
black,kl_divergence,0.075984465
black,expected_correctness,0.970101359
gay,brier_score,0.077647203
gay,cross_entropy,0.189255687
gay,ece,0.005994422
gay,kl_divergence,0.178792713
gay,expected_correctness,0.91854053
indian,brier_score,0.130678256
indian,cross_entropy,0.312049811
indian,ece,0.025302256
indian,kl_divergence,0.301176914
indian,expected_correctness,0.862086604
orient,brier_score,0.494927021
orient,cross_entropy,0.901698269
orient,ece,0.053960161
orient,kl_divergence,0.871443169
orient,expected_correctness,0.484241103
queer,brier_score,0.183689434
queer,cross_entropy,0.446386515
queer,ece,0.105458671
queer,kl_divergence,0.435206722
queer,expected_correctness,0.792903847
