term,metric,untruncated
all,brier_score,0.495251981
all,cross_entropy,1.046725778
all,ece,0.057820945
all,kl_divergence,1.017980153
all,expected_correctness,0.487728702
black,brier_score,0.341899777
black,cross_entropy,0.66086976
black,ece,0.050725949
black,kl_divergence,0.644472729
black,expected_correctness,0.655888809
gay,brier_score,0.533242929
gay,cross_entropy,1.167265853
gay,ece,0.094569912
gay,kl_divergence,1.148361838
gay,expected_correctness,0.455821632
indian,brier_score,0.625759026
indian,cross_entropy,1.319886803
indian,ece,0.061710162
indian,kl_divergence,1.27227365
indian,expected_correctness,0.336666347
orient,brier_score,0.597259632
orient,cross_entropy,1.298214678
orient,ece,0.084143921
orient,kl_divergence,1.272058181
orient,expected_correctness,0.381226054
queer,brier_score,0.555946825
queer,cross_entropy,1.272980125
queer,ece,0.098022217
queer,kl_divergence,1.203450463
queer,expected_correctness,0.395900611
