term,metric,512
all,brier_score,0.385442756
all,cross_entropy,1.010577437
all,ece,0.033779831
all,kl_divergence,0.991691398
all,expected_correctness,0.614178569
black,brier_score,0.075906003
black,cross_entropy,0.222557506
black,ece,0.01452675
black,kl_divergence,0.213232656
black,expected_correctness,0.915839372
gay,brier_score,0.328649228
gay,cross_entropy,0.909583953
gay,ece,0.085086861
gay,kl_divergence,0.887326933
gay,expected_correctness,0.645913675
indian,brier_score,0.521781335
indian,cross_entropy,0.974087398
indian,ece,0.092640887
indian,kl_divergence,0.961125029
indian,expected_correctness,0.489276671
orient,brier_score,0.791132386
orient,cross_entropy,1.917454714
orient,ece,0.051017492
orient,kl_divergence,1.87318065
orient,expected_correctness,0.184632965
queer,brier_score,0.495541849
queer,cross_entropy,1.049089582
queer,ece,0.080938342
queer,kl_divergence,1.005283845
queer,expected_correctness,0.471797263
