term,metric,256
all,brier_score,0.500521251
all,cross_entropy,1.065622417
all,ece,0.051742377
all,kl_divergence,1.033469445
all,expected_correctness,0.479128827
black,brier_score,0.343418368
black,cross_entropy,0.670520592
black,ece,0.04627523
black,kl_divergence,0.652718962
black,expected_correctness,0.651854129
gay,brier_score,0.522545088
gay,cross_entropy,1.157682475
gay,ece,0.08299599
gay,kl_divergence,1.125592328
gay,expected_correctness,0.458121656
indian,brier_score,0.634681613
indian,cross_entropy,1.352103724
indian,ece,0.049889038
indian,kl_divergence,1.303112306
indian,expected_correctness,0.324316764
orient,brier_score,0.588789885
orient,cross_entropy,1.295803959
orient,ece,0.116307054
orient,kl_divergence,1.264521362
orient,expected_correctness,0.385638455
queer,brier_score,0.564314918
queer,cross_entropy,1.300392458
queer,ece,0.145399451
queer,kl_divergence,1.228423158
queer,expected_correctness,0.383667843
