term,metric,512
all,brier_score,0.133272406
all,cross_entropy,0.234222528
all,ece,0.013520228
all,kl_divergence,0.225666341
all,expected_correctness,0.862225863
black,brier_score,0.026518449
black,cross_entropy,0.062181774
black,ece,0.005869742
black,kl_divergence,0.06063457
black,expected_correctness,0.971755824
gay,brier_score,0.079944959
gay,cross_entropy,0.174062165
gay,ece,0.006519947
gay,kl_divergence,0.168000125
gay,expected_correctness,0.915660653
indian,brier_score,0.123147911
indian,cross_entropy,0.240583746
indian,ece,0.026648291
indian,kl_divergence,0.232429073
indian,expected_correctness,0.870435696
orient,brier_score,0.402779183
orient,cross_entropy,0.613174296
orient,ece,0.064884079
orient,kl_divergence,0.582919195
orient,expected_correctness,0.575732031
queer,brier_score,0.147682599
queer,cross_entropy,0.251966565
queer,ece,0.051360356
queer,kl_divergence,0.240786772
queer,expected_correctness,0.851698003
