term,metric,512
all,brier_score,0.494847376
all,cross_entropy,1.054009527
all,ece,0.052364152
all,kl_divergence,1.022014167
all,expected_correctness,0.484810357
black,brier_score,0.341873975
black,cross_entropy,0.668525625
black,ece,0.054865433
black,kl_divergence,0.650763999
black,expected_correctness,0.653081216
gay,brier_score,0.519535035
gay,cross_entropy,1.148196228
gay,ece,0.087423956
gay,kl_divergence,1.11610608
gay,expected_correctness,0.461936644
indian,brier_score,0.626619197
indian,cross_entropy,1.337784072
indian,ece,0.051422072
indian,kl_divergence,1.289178414
indian,expected_correctness,0.331985705
orient,brier_score,0.587918344
orient,cross_entropy,1.295136895
orient,ece,0.088830463
orient,kl_divergence,1.263854298
orient,expected_correctness,0.38617639
queer,brier_score,0.543663557
queer,cross_entropy,1.25775857
queer,ece,0.121276461
queer,kl_divergence,1.188228907
queer,expected_correctness,0.405467778
