term,metric,untruncated
all,brier_score,0.146372039
all,cross_entropy,0.30615874
all,ece,0.02182643
all,kl_divergence,0.297236199
all,expected_correctness,0.847956161
black,brier_score,0.02635446
black,cross_entropy,0.075012851
black,ece,0.007328875
black,kl_divergence,0.073515773
black,expected_correctness,0.971030345
gay,brier_score,0.076287699
gay,cross_entropy,0.185959924
gay,ece,0.006061966
gay,kl_divergence,0.175595657
gay,expected_correctness,0.919758488
indian,brier_score,0.127549783
indian,cross_entropy,0.305044875
indian,ece,0.027893694
indian,kl_divergence,0.294381072
indian,expected_correctness,0.865489446
orient,brier_score,0.495790896
orient,cross_entropy,0.890684283
orient,ece,0.056881375
orient,kl_divergence,0.868887202
orient,expected_correctness,0.489531402
queer,brier_score,0.164397467
queer,cross_entropy,0.405346766
queer,ece,0.070201781
queer,kl_divergence,0.383549039
queer,expected_correctness,0.8104085
