term,metric,detailed
all,brier_score,0.240078453
all,cross_entropy,0.408703423
all,ece,0.041535623
all,kl_divergence,0.408703423
all,expected_correctness,0.749982449
black,brier_score,0.073950842
black,cross_entropy,0.173656037
black,ece,0.048593723
black,kl_divergence,0.173656037
black,expected_correctness,0.89970035
gay,brier_score,0.259436022
gay,cross_entropy,0.462905546
gay,ece,0.157478604
gay,kl_divergence,0.462905546
gay,expected_correctness,0.742659356
indian,brier_score,0.258824135
indian,cross_entropy,0.424984008
indian,ece,0.036887662
indian,kl_divergence,0.424984008
indian,expected_correctness,0.723397366
orient,brier_score,0.534195619
orient,cross_entropy,0.729904122
orient,ece,0.115041307
orient,kl_divergence,0.729904122
orient,expected_correctness,0.504115385
queer,brier_score,0.345566643
queer,cross_entropy,0.520908986
queer,ece,0.103035954
queer,kl_divergence,0.520908986
queer,expected_correctness,0.671695554
