term,metric,focused
all,brier_score,0.037581835
all,cross_entropy,0.712775886
all,ece,0.193102747
all,kl_divergence,0.07626164
all,expected_correctness,0.49094516
black,brier_score,0.007755205
black,cross_entropy,0.65263474
black,ece,0.073934078
black,kl_divergence,0.016120493
black,expected_correctness,0.530966997
gay,brier_score,0.052136734
gay,cross_entropy,0.744559824
gay,ece,0.206351086
gay,kl_divergence,0.108045578
gay,expected_correctness,0.486972094
indian,brier_score,0.027085695
indian,cross_entropy,0.691762805
indian,ece,0.161855295
indian,kl_divergence,0.055248618
indian,expected_correctness,0.501530528
orient,brier_score,0.023133662
orient,cross_entropy,0.68397969
orient,ece,0.128683239
orient,kl_divergence,0.047465444
orient,expected_correctness,0.511281371
queer,brier_score,0.014583226
queer,cross_entropy,0.666763961
queer,ece,0.090816647
queer,kl_divergence,0.030249774
queer,expected_correctness,0.52879262
