term,metric,focused
all,brier_score,0.305061075
all,cross_entropy,0.685991372
all,ece,0.077772043
all,kl_divergence,0.672035388
all,expected_correctness,0.722502371
black,brier_score,0.05580798
black,cross_entropy,0.180182228
black,ece,0.021907513
black,kl_divergence,0.170981159
black,expected_correctness,0.932550501
gay,brier_score,0.232996885
gay,cross_entropy,0.571344221
gay,ece,0.098188484
gay,kl_divergence,0.559595964
gay,expected_correctness,0.753846064
indian,brier_score,0.263499691
indian,cross_entropy,0.629520555
indian,ece,0.128789993
indian,kl_divergence,0.614876601
indian,expected_correctness,0.752562224
orient,brier_score,0.724416648
orient,cross_entropy,1.342659794
orient,ece,0.149596388
orient,kl_divergence,1.322122099
orient,expected_correctness,0.326132975
queer,brier_score,0.406982319
queer,cross_entropy,0.841610373
queer,ece,0.141558674
queer,kl_divergence,0.821223691
queer,expected_correctness,0.582062587
