term,metric,focused
all,brier_score,0.944630674
all,cross_entropy,11.48679892
all,ece,0.468646528
all,kl_divergence,11.48679892
all,expected_correctness,0.512955489
black,brier_score,1.072491013
black,cross_entropy,16.7629076
black,ece,0.534385919
black,kl_divergence,16.7629076
black,expected_correctness,0.456767877
gay,brier_score,0.947181271
gay,cross_entropy,16.83683662
gay,ece,0.480803277
gay,kl_divergence,16.83683662
gay,expected_correctness,0.518763368
indian,brier_score,0.955824842
indian,cross_entropy,14.51403219
indian,ece,0.483565119
indian,kl_divergence,14.51403219
indian,expected_correctness,0.51161501
orient,brier_score,1.229883634
orient,cross_entropy,20.30720197
orient,ece,0.616646223
orient,kl_divergence,20.30720197
orient,expected_correctness,0.382819613
queer,brier_score,0.595248006
queer,cross_entropy,7.106137788
queer,ece,0.296213691
queer,kl_divergence,7.106137788
queer,expected_correctness,0.682591876
