term,metric,focused
all,brier_score,0.956928444
all,cross_entropy,3.798161786
all,ece,0.001841839
all,kl_divergence,3.76978734
all,expected_correctness,0.022415422
black,brier_score,0.931244381
black,cross_entropy,2.707812343
black,ece,0.12650691
black,kl_divergence,2.704959885
black,expected_correctness,0.066682648
gay,brier_score,0.841401179
gay,cross_entropy,2.328812943
gay,ece,0.41831203
gay,kl_divergence,2.269400329
gay,expected_correctness,0.135015388
indian,brier_score,0.887672773
indian,cross_entropy,1.973076988
indian,ece,0.473888788
indian,kl_divergence,1.946990803
indian,expected_correctness,0.166842376
orient,brier_score,0.889738393
orient,cross_entropy,2.460353188
orient,ece,0.150383168
orient,kl_divergence,2.41610975
orient,expected_correctness,0.087639834
queer,brier_score,0.790353468
queer,cross_entropy,1.858385774
queer,ece,0.341162819
queer,kl_divergence,1.779619051
queer,expected_correctness,0.205245111
