term,metric,detailed
all,brier_score,0.894727288
all,cross_entropy,10.56976367
all,ece,0.446550302
all,kl_divergence,10.56976367
all,expected_correctness,0.539139843
black,brier_score,0.904575163
black,cross_entropy,13.56884054
black,ece,0.450336388
black,kl_divergence,13.56884054
black,expected_correctness,0.539559089
gay,brier_score,0.849943003
gay,cross_entropy,13.09513167
gay,ece,0.429360389
gay,kl_divergence,13.09513167
gay,expected_correctness,0.561125363
indian,brier_score,0.962024439
indian,cross_entropy,13.76775314
indian,ece,0.481069843
indian,kl_divergence,13.76775314
indian,expected_correctness,0.512852692
orient,brier_score,0.949813303
orient,cross_entropy,18.59070991
orient,ece,0.47528448
orient,kl_divergence,18.59070991
orient,expected_correctness,0.519070275
queer,brier_score,0.634068165
queer,cross_entropy,11.35024743
queer,ece,0.325929414
queer,kl_divergence,11.35024743
queer,expected_correctness,0.670974498
