term,metric,detailed
all,brier_score,0.146954641
all,cross_entropy,1.434408903
all,ece,0.335789591
all,kl_divergence,0.797894657
all,expected_correctness,0.529237032
black,brier_score,0.213744149
black,cross_entropy,3.324323893
black,ece,0.422200292
black,kl_divergence,2.687809646
black,expected_correctness,0.517157555
gay,brier_score,0.251203954
gay,cross_entropy,8.321497917
gay,ece,0.469665766
gay,kl_divergence,7.684983671
gay,expected_correctness,0.510213912
indian,brier_score,0.292616159
indian,cross_entropy,7.781173229
indian,ece,0.508797228
indian,kl_divergence,7.144659042
indian,expected_correctness,0.462696612
orient,brier_score,0.21524246
orient,cross_entropy,7.097093582
orient,ece,0.432906687
orient,kl_divergence,6.460579336
orient,expected_correctness,0.547614396
queer,brier_score,0.250891954
queer,cross_entropy,8.123013496
queer,ece,0.465165377
queer,kl_divergence,7.48649931
queer,expected_correctness,0.508401692
