term,metric,focused
all,brier_score,0.310062454
all,cross_entropy,0.680966036
all,ece,0.132292234
all,kl_divergence,0.667010053
all,expected_correctness,0.604991948
black,brier_score,0.147727653
black,cross_entropy,0.41142252
black,ece,0.265881431
black,kl_divergence,0.402221452
black,expected_correctness,0.687411249
gay,brier_score,0.269550965
gay,cross_entropy,0.614328181
gay,ece,0.26648354
gay,kl_divergence,0.602579925
gay,expected_correctness,0.606785385
indian,brier_score,0.281616689
indian,cross_entropy,0.638957669
indian,ece,0.207782898
indian,kl_divergence,0.624313714
indian,expected_correctness,0.608936296
orient,brier_score,0.606561851
orient,cross_entropy,1.146939913
orient,ece,0.046052123
orient,kl_divergence,1.126402218
orient,expected_correctness,0.364007239
queer,brier_score,0.398532749
queer,cross_entropy,0.824500469
queer,ece,0.219461473
queer,kl_divergence,0.804113787
queer,expected_correctness,0.506477091
