term,metric,detailed
all,brier_score,0.875369875
all,cross_entropy,2.767883862
all,ece,0.08458926
all,kl_divergence,2.739509414
all,expected_correctness,0.153031865
black,brier_score,0.276592382
black,cross_entropy,0.811277592
black,ece,0.119179687
black,kl_divergence,0.808425134
black,expected_correctness,0.751277405
gay,brier_score,0.748828637
gay,cross_entropy,2.031809586
gay,ece,0.097268834
gay,kl_divergence,1.972396971
gay,expected_correctness,0.234978853
indian,brier_score,0.729230542
indian,cross_entropy,1.513225202
indian,ece,0.174380988
indian,kl_divergence,1.487139018
indian,expected_correctness,0.316714382
orient,brier_score,0.870365513
orient,cross_entropy,2.233929498
orient,ece,0.154376107
orient,kl_divergence,2.189686061
orient,expected_correctness,0.139284719
queer,brier_score,0.824961125
queer,cross_entropy,1.83152823
queer,ece,0.305073674
queer,kl_divergence,1.752761502
queer,expected_correctness,0.238879635
