term,metric,focused
all,brier_score,0.035331581
all,cross_entropy,0.709186256
all,ece,0.164417699
all,kl_divergence,0.072672009
all,expected_correctness,0.501063585
black,brier_score,0.026994992
black,cross_entropy,0.691675425
black,ece,0.148231283
black,kl_divergence,0.055161178
black,expected_correctness,0.506207883
gay,brier_score,0.031749159
gay,cross_entropy,0.701158404
gay,ece,0.173129961
gay,kl_divergence,0.064644158
gay,expected_correctness,0.497675717
indian,brier_score,0.02935327
indian,cross_entropy,0.696455657
indian,ece,0.157384619
indian,kl_divergence,0.059941471
indian,expected_correctness,0.503117025
orient,brier_score,0.015172649
orient,cross_entropy,0.667720616
orient,ece,0.10607636
orient,kl_divergence,0.031206369
orient,expected_correctness,0.518575251
queer,brier_score,0.024195611
queer,cross_entropy,0.685970485
queer,ece,0.153052643
queer,kl_divergence,0.049456298
queer,expected_correctness,0.50411427
