term,metric,focused
all,brier_score,0.148265526
all,cross_entropy,1.178918719
all,ece,0.327372283
all,kl_divergence,0.542404473
all,expected_correctness,0.483569384
black,brier_score,0.282438457
black,cross_entropy,7.757953644
black,ece,0.498726368
black,kl_divergence,7.121439397
black,expected_correctness,0.472968459
gay,brier_score,0.246373624
gay,cross_entropy,7.76059866
gay,ece,0.464675307
gay,kl_divergence,7.124084413
gay,expected_correctness,0.515047431
indian,brier_score,0.246665925
indian,cross_entropy,7.308515072
indian,ece,0.463799834
indian,kl_divergence,6.672000885
indian,expected_correctness,0.510600388
orient,brier_score,0.262580723
orient,cross_entropy,8.265745163
orient,ece,0.480000138
orient,kl_divergence,7.629230917
orient,expected_correctness,0.497058749
queer,brier_score,0.26908958
queer,cross_entropy,9.30137825
queer,ece,0.487337679
queer,kl_divergence,8.664864063
queer,expected_correctness,0.491055161
