term,metric,focused
all,brier_score,0.783194021
all,cross_entropy,1.751119267
all,ece,0.010398646
all,kl_divergence,1.724962769
all,expected_correctness,0.183582953
black,brier_score,0.716280681
black,cross_entropy,1.559003173
black,ece,0.212672723
black,kl_divergence,1.549442521
black,expected_correctness,0.220635865
gay,brier_score,0.839675693
gay,cross_entropy,2.011989731
gay,ece,0.153668909
gay,kl_divergence,1.976893672
gay,expected_correctness,0.14365251
indian,brier_score,0.837444141
indian,cross_entropy,2.017116137
indian,ece,0.01941432
indian,kl_divergence,1.983630767
indian,expected_correctness,0.139495141
orient,brier_score,0.820350908
orient,cross_entropy,1.943071445
orient,ece,0.086372316
orient,kl_divergence,1.888825145
orient,expected_correctness,0.155531916
queer,brier_score,0.854571864
queer,cross_entropy,2.040150565
queer,ece,0.07644567
queer,kl_divergence,2.026559444
queer,expected_correctness,0.135258227
