term,metric,detailed
all,brier_score,0.959158254
all,cross_entropy,10.96960103
all,ece,0.476633609
all,kl_divergence,10.96960103
all,expected_correctness,0.506253454
black,brier_score,0.968420402
black,cross_entropy,13.35907165
black,ece,0.484915759
black,kl_divergence,13.35907165
black,expected_correctness,0.503551595
gay,brier_score,1.142816467
gay,cross_entropy,19.40503107
gay,ece,0.582629624
gay,kl_divergence,19.40503107
gay,expected_correctness,0.414713197
indian,brier_score,0.948168823
indian,cross_entropy,16.41900137
indian,ece,0.475716961
indian,kl_divergence,16.41900137
indian,expected_correctness,0.513241663
orient,brier_score,0.785752758
orient,cross_entropy,15.11181011
orient,ece,0.403246029
orient,kl_divergence,15.11181011
orient,expected_correctness,0.596747718
queer,brier_score,0.642667924
queer,cross_entropy,11.54594821
queer,ece,0.32078162
queer,kl_divergence,11.54594821
queer,expected_correctness,0.678024607
