term,metric,focused
all,brier_score,1.729829413
all,cross_entropy,27.93349154
all,ece,0.840429495
all,kl_divergence,27.90733507
all,expected_correctness,0.071179974
black,brier_score,1.702449718
black,cross_entropy,28.12425972
black,ece,0.837636945
black,kl_divergence,28.11469909
black,expected_correctness,0.101537636
gay,brier_score,1.681026321
gay,cross_entropy,36.03848641
gay,ece,0.811482794
gay,kl_divergence,36.00339036
gay,expected_correctness,0.069768406
indian,brier_score,1.689951489
indian,cross_entropy,29.5638256
indian,ece,0.81968204
indian,kl_divergence,29.53034027
indian,expected_correctness,0.06629
orient,brier_score,1.680519025
orient,cross_entropy,29.89819264
orient,ece,0.838206658
orient,kl_divergence,29.84394636
orient,expected_correctness,0.062734428
queer,brier_score,1.680992565
queer,cross_entropy,37.30560673
queer,ece,0.812076601
queer,kl_divergence,37.29201562
queer,expected_correctness,0.067768781
