term,metric,focused
all,brier_score,0.206700012
all,cross_entropy,2.98515439
all,ece,0.413844109
all,kl_divergence,2.348640144
all,expected_correctness,0.517995119
black,brier_score,0.259041518
black,cross_entropy,7.003548622
black,ece,0.473604441
black,kl_divergence,6.367034376
black,expected_correctness,0.493650824
gay,brier_score,0.280232072
gay,cross_entropy,9.042947769
gay,ece,0.498075306
gay,kl_divergence,8.406433523
gay,expected_correctness,0.479353994
indian,brier_score,0.211368456
indian,cross_entropy,4.415631294
indian,ece,0.421645045
indian,kl_divergence,3.779117107
indian,expected_correctness,0.532022774
orient,brier_score,0.247823596
orient,cross_entropy,7.638663292
orient,ece,0.463457376
orient,kl_divergence,7.002149045
orient,expected_correctness,0.505872607
queer,brier_score,0.242191628
queer,cross_entropy,8.006318092
queer,ece,0.458963215
queer,kl_divergence,7.369803905
queer,expected_correctness,0.51542896
