term,metric,focused
all,brier_score,1.562588833
all,cross_entropy,18.75854193
all,ece,0.761164399
all,kl_divergence,18.73238545
all,expected_correctness,0.150710173
black,brier_score,1.28189211
black,cross_entropy,14.4647141
black,ece,0.63030714
black,kl_divergence,14.45515347
black,expected_correctness,0.317793279
gay,brier_score,1.659138394
gay,cross_entropy,19.44841476
gay,ece,0.813029612
gay,kl_divergence,19.41331877
gay,expected_correctness,0.099387618
indian,brier_score,1.652091491
indian,cross_entropy,21.74568353
indian,ece,0.812418211
indian,kl_divergence,21.71219818
indian,expected_correctness,0.101576685
orient,brier_score,1.657449968
orient,cross_entropy,21.79457669
orient,ece,0.812195664
orient,kl_divergence,21.7403304
orient,expected_correctness,0.097943194
queer,brier_score,1.713806179
queer,cross_entropy,23.17228913
queer,ece,0.833874819
queer,kl_divergence,23.158698
queer,expected_correctness,0.067605221
