term,metric,detailed
all,brier_score,0.733245907
all,cross_entropy,1.643225078
all,ece,0.09198065
all,kl_divergence,1.617068581
all,expected_correctness,0.223317898
black,brier_score,0.557195914
black,cross_entropy,1.178809553
black,ece,0.291193455
black,kl_divergence,1.169248902
black,expected_correctness,0.339121298
gay,brier_score,0.723967984
gay,cross_entropy,1.672032623
gay,ece,0.135294467
gay,kl_divergence,1.636936563
gay,expected_correctness,0.231260019
indian,brier_score,0.763627831
indian,cross_entropy,1.694801082
indian,ece,0.111234126
indian,kl_divergence,1.661315711
indian,expected_correctness,0.19323725
orient,brier_score,0.754317502
orient,cross_entropy,1.726744218
orient,ece,0.038172044
orient,kl_divergence,1.672497918
orient,expected_correctness,0.195455919
queer,brier_score,0.781245256
queer,cross_entropy,1.795698608
queer,ece,0.107547759
queer,kl_divergence,1.782107486
queer,expected_correctness,0.192140556
